x,y,z
0,-0.002,1.575
0,-0.0079,1.575
0,-0.0178,1.5749
0,-0.0317,1.5747
0,-0.0495,1.5742
0,-0.0712,1.5734
0,-0.0969,1.572
0,-0.1265,1.5699
0,-0.16,1.5668
0,-0.1974,1.5626
0,-0.2386,1.5568
0,-0.2835,1.5493
0,-0.332,1.5396
0,-0.384,1.5275
0,-0.4394,1.5125
0,-0.498,1.4942
0,-0.5595,1.4723
0,-0.6237,1.4462
0,-0.6902,1.4157
0,-0.7588,1.3802
0,-0.8288,1.3393
0,-0.9,1.2926
0,-0.9716,1.2396
0,-1.043,1.1801
0,-1.1137,1.1137
0,-1.1801,1.043
0,-1.2396,0.9716
0,-1.2396,0.9
0,-1.3393,0.8288
0,-1.3802,0.7588
0,-1.4157,0.6902
0,-1.4462,0.6237
0,-1.4723,0.5595
0,-1.4942,0.498
0,-1.5125,0.4394
0,-1.5275,0.384
0,-1.5396,0.332
0,-1.5493,0.2835
0,-1.5568,0.2386
0,-1.5626,0.1974
0,-1.5668,0.16
0,-1.5699,0.1265
0,-1.572,0.0969
0,-1.5734,0.0712
0,-1.5742,0.0495
0,-1.5747,0.0317
0,-1.5749,0.0178
0,-1.575,0.0079
0,-1.575,0.002
0,-1.575,0
